Date,BTC,ADA,SOL
2024-02-25,"51,722.7",0.5913,103.475
2024-02-24,"51,571.6",0.5968,104.012
2024-02-23,"50,740.5",0.5822,99.827
2024-02-22,"51,320.4",0.5862,101.774
2024-02-21,"51,858.2",0.5987,105.059
2024-02-20,"52,263.5",0.6220,108.292
2024-02-19,"51,783.6",0.6305,111.465
2024-02-18,"52,117.5",0.6190,112.206
2024-02-17,"51,646.0",0.6094,108.913
2024-02-16,"52,134.2",0.5987,110.341
2024-02-15,"51,901.3",0.6086,113.555
2024-02-14,"51,782.4",0.5768,116.959
2024-02-13,"49,716.0",0.5449,112.502
2024-02-12,"49,941.3",0.5593,111.803
2024-02-11,"48,277.3",0.5414,107.439
2024-02-10,"47,758.2",0.5515,109.032
2024-02-09,"47,127.5",0.5405,106.909
2024-02-08,"45,293.3",0.5299,102.760
2024-02-07,"44,339.8",0.5022,101.058
2024-02-06,"43,087.7",0.4983,96.850
2024-02-05,"42,697.2",0.4942,95.624
2024-02-04,"42,581.4",0.4934,95.435
2024-02-03,"43,005.7",0.5124,97.940
2024-02-02,"43,194.7",0.5145,100.542
2024-02-01,"43,081.4",0.5077,97.803
2024-01-31,"42,580.5",0.4979,97.043
2024-01-30,"42,946.2",0.5139,101.377
2024-01-29,"43,299.8",0.5259,101.613
2024-01-28,"42,030.7",0.4902,95.982
2024-01-27,"42,120.9",0.4862,94.201
2024-01-26,"41,811.3",0.4848,92.209
2024-01-25,"39,935.7",0.4665,86.880
2024-01-24,"40,086.0",0.4765,88.769
2024-01-23,"39,888.8",0.4774,84.303
2024-01-22,"39,556.4",0.4786,83.829
2024-01-21,"41,583.2",0.5030,91.055
2024-01-20,"41,695.4",0.5161,92.756
2024-01-19,"41,648.0",0.5043,93.655
2024-01-18,"41,292.7",0.5024,94.352
2024-01-17,"42,768.7",0.5282,102.070
2024-01-16,"43,145.5",0.5357,97.607
2024-01-15,"42,510.7",0.5274,94.398
2024-01-14,"41,746.1",0.5252,93.855
2024-01-13,"42,851.3",0.5491,95.774
2024-01-12,"42,835.9",0.5477,92.039
2024-01-11,"46,348.2",0.5819,99.862
2024-01-10,"46,629.3",0.5654,102.024
2024-01-09,"46,129.0",0.5123,99.370
2024-01-08,"46,962.2",0.5412,97.860
2024-01-07,"43,927.3",0.4940,89.328
2024-01-06,"43,967.9",0.5226,93.728
2024-01-05,"44,156.9",0.5414,99.930
2024-01-04,"44,157.0",0.5699,104.876
2024-01-03,"42,836.1",0.5568,98.536
2024-01-02,"44,943.7",0.6049,106.720
2024-01-01,"44,183.4",0.6228,109.628
2023-12-31,"42,272.5",0.5943,101.590
2023-12-30,"42,136.7",0.6011,101.808
2023-12-29,"42,072.4",0.6083,106.166
2023-12-28,"42,581.1",0.6160,101.845
2023-12-27,"43,446.5",0.6335,106.782
2023-12-26,"42,513.3",0.6083,112.603
2023-12-25,"43,578.5",0.6243,120.761
2023-12-24,"42,981.5",0.5914,112.471
2023-12-23,"43,710.4",0.6128,107.948
2023-12-22,"43,968.9",0.6226,97.972
2023-12-21,"43,865.9",0.6354,93.920
2023-12-20,"43,662.8",0.5897,82.164
2023-12-19,"42,259.3",0.5760,73.078
2023-12-18,"42,659.7",0.6027,74.394
2023-12-17,"41,368.7",0.5803,70.737
2023-12-16,"42,271.7",0.6082,73.724
2023-12-15,"41,929.0",0.6004,72.545
2023-12-14,"43,025.9",0.6434,75.686
2023-12-13,"42,884.5",0.6671,70.598
2023-12-12,"41,487.0",0.5781,68.550
2023-12-11,"41,256.1",0.5505,70.297
2023-12-10,"43,791.0",0.5946,74.750
2023-12-09,"43,718.4",0.5779,72.319
2023-12-08,"44,175.5",0.5453,74.896
2023-12-07,"43,289.7",0.4544,67.791
2023-12-06,"43,776.3",0.4425,61.896
2023-12-05,"44,076.2",0.4252,60.959
2023-12-04,"41,987.8",0.4068,61.572
2023-12-03,"39,970.2",0.3947,62.988
2023-12-02,"39,458.4",0.3970,63.807
2023-12-01,"38,688.2",0.3839,59.754
2023-11-30,"37,712.9",0.3757,59.199
2023-11-29,"37,855.5",0.3817,59.294
2023-11-28,"37,823.3",0.3853,58.192
2023-11-27,"37,248.6",0.3778,55.060
2023-11-26,"37,451.8",0.3873,57.559
2023-11-25,"37,787.0",0.3940,58.809
2023-11-24,"37,717.3",0.3861,56.863
2023-11-23,"37,293.1",0.3870,56.412
2023-11-22,"37,410.8",0.3802,57.482
2023-11-21,"35,813.6",0.3569,51.691
2023-11-20,"37,454.1",0.3803,56.574
2023-11-19,"37,354.2",0.3841,61.114
2023-11-18,"36,568.6",0.3772,58.552
2023-11-17,"36,595.4",0.3672,58.497
2023-11-16,"36,161.2",0.3709,57.815
2023-11-15,"37,874.9",0.3787,65.555
2023-11-14,"35,549.3",0.3578,56.820
2023-11-13,"36,478.3",0.3569,51.662
2023-11-12,"37,064.4",0.3835,56.350
2023-11-11,"37,150.5",0.3844,56.354
2023-11-10,"37,303.0",0.3863,56.677
2023-11-09,"36,700.5",0.3682,45.335
2023-11-08,"35,636.9",0.3578,43.127
2023-11-07,"35,426.1",0.3513,42.946
2023-11-06,"35,042.0",0.3623,42.187
2023-11-05,"35,019.4",0.3417,41.154
2023-11-04,"35,065.8",0.3278,42.424
2023-11-03,"34,718.7",0.3291,39.452
2023-11-02,"34,931.4",0.3230,40.246
2023-11-01,"35,423.8",0.3073,41.113
2023-10-31,"34,650.6",0.2930,38.398
2023-10-30,"34,477.9",0.3030,34.942
2023-10-29,"34,526.7",0.2954,32.805
2023-10-28,"34,082.6",0.2911,31.632
2023-10-27,"33,901.8",0.2893,31.724
2023-10-26,"34,153.7",0.2872,32.780
2023-10-25,"34,496.8",0.2808,32.444
2023-10-24,"33,917.0",0.2791,30.160
2023-10-23,"33,041.8",0.2806,31.922
2023-10-22,"29,984.2",0.2639,29.049
2023-10-21,"29,912.9",0.2586,29.343
2023-10-20,"29,674.5",0.2512,27.020
2023-10-19,"28,723.0",0.2469,24.942
2023-10-18,"28,321.7",0.2430,23.417
2023-10-17,"28,403.6",0.2464,23.934
2023-10-16,"28,509.7",0.2512,23.952
2023-10-15,"27,161.2",0.2473,21.914
2023-10-14,"26,852.8",0.2470,21.990
2023-10-13,"26,863.5",0.2458,21.840
2023-10-12,"26,761.1",0.2460,21.299
2023-10-11,"26,876.6",0.2480,22.015
2023-10-10,"27,391.0",0.2491,22.098
2023-10-09,"27,581.4",0.2513,22.097
2023-10-08,"27,922.7",0.2564,23.224
2023-10-07,"27,961.1",0.2587,23.303
2023-10-06,"27,936.9",0.2646,23.483
2023-10-05,"27,410.3",0.2601,22.670
2023-10-04,"27,790.9",0.2590,23.140
2023-10-03,"27,428.4",0.2610,23.608
2023-10-02,"27,505.3",0.2591,23.360
2023-10-01,"27,974.5",0.2658,23.883
2023-09-30,"26,962.7",0.2540,21.364
2023-09-29,"26,909.8",0.2494,20.280
2023-09-28,"27,022.6",0.2489,19.960
2023-09-27,"26,366.1",0.2446,19.127
2023-09-26,"26,218.9",0.2454,19.026
2023-09-25,"26,302.7",0.2459,19.398
2023-09-24,"26,251.5",0.2428,19.358
2023-09-23,"26,579.2",0.2461,19.488
2023-09-22,"26,581.9",0.2449,19.428
2023-09-21,"26,570.0",0.2450,19.463
2023-09-20,"27,125.0",0.2517,20.297
2023-09-19,"27,209.2",0.2548,20.030
2023-09-18,"26,763.5",0.2515,19.648
2023-09-17,"26,529.1",0.2471,18.822
2023-09-16,"26,562.0",0.2503,19.130
2023-09-15,"26,601.0",0.2506,19.140
2023-09-14,"26,524.7",0.2513,18.850
2023-09-13,"26,223.0",0.2486,18.398
2023-09-12,"25,834.5",0.2454,17.910
2023-09-11,"25,166.4",0.2421,17.736
2023-09-10,"25,840.2",0.2490,18.230
2023-09-09,"25,901.1",0.2533,19.432
2023-09-08,"25,909.5",0.2544,19.610
2023-09-07,"26,249.8",0.2580,19.904
2023-09-06,"25,758.0",0.2577,19.640
2023-09-05,"25,790.2",0.2578,20.258
2023-09-04,"25,823.3",0.2561,19.517
2023-09-03,"25,971.0",0.2558,19.572
2023-09-02,"25,869.7",0.2562,19.500
2023-09-01,"25,803.2",0.2551,19.322
2023-08-31,"25,937.3",0.2554,19.727
2023-08-30,"27,298.8",0.2654,20.812
2023-08-29,"27,723.9",0.2726,21.792
2023-08-28,"26,118.9",0.2676,20.568
2023-08-27,"26,100.6",0.2634,20.790
2023-08-26,"26,017.1",0.2610,20.288
2023-08-25,"26,057.2",0.2612,20.420
2023-08-24,"26,177.0",0.2659,21.058
2023-08-23,"26,436.2",0.2681,21.738
2023-08-22,"26,039.9",0.2585,20.584
2023-08-21,"26,126.0",0.2628,21.190
2023-08-20,"26,190.8",0.2704,21.768
2023-08-19,"26,099.4",0.2687,21.900
2023-08-18,"26,053.2",0.2639,21.348
2023-08-17,"26,635.7",0.2552,21.700
2023-08-16,"28,726.3",0.2748,22.816
2023-08-15,"29,195.3",0.2822,23.946
2023-08-14,"29,426.7",0.2906,25.176
2023-08-13,"29,300.1",0.2896,24.230
2023-08-12,"29,428.2",0.2919,24.902
2023-08-11,"29,420.8",0.2933,24.618
2023-08-10,"29,449.0",0.2964,24.605
2023-08-09,"29,578.0",0.3013,24.385
2023-08-08,"29,777.4",0.2975,24.210
2023-08-07,"29,204.2",0.2910,23.109
2023-08-06,"29,081.3",0.2922,23.197
2023-08-05,"29,068.1",0.2938,22.648
2023-08-04,"29,105.5",0.2935,22.796
2023-08-03,"29,189.3",0.2925,22.640
2023-08-02,"29,173.7",0.2994,23.148
2023-08-01,"29,712.2",0.3103,24.010
2023-07-31,"29,232.4",0.3070,23.720
2023-07-30,"29,281.7",0.3157,24.250
2023-07-29,"29,353.5",0.3129,25.160
2023-07-28,"29,315.0",0.3099,24.820
2023-07-27,"29,222.7",0.3077,25.102
2023-07-26,"29,352.2",0.3069,25.190
2023-07-25,"29,228.6",0.3036,23.270
2023-07-24,"29,178.1",0.3053,23.370
2023-07-23,"30,085.9",0.3171,24.760
2023-07-22,"29,788.9",0.3100,24.520
2023-07-21,"29,903.1",0.3127,25.492
2023-07-20,"29,801.0",0.3158,25.371
2023-07-19,"29,909.7",0.3226,26.320
2023-07-18,"29,866.8",0.3093,25.554
2023-07-17,"30,139.7",0.3118,26.804
2023-07-16,"30,235.5",0.3145,27.420
2023-07-15,"30,291.4",0.3261,27.456
2023-07-14,"30,317.4",0.3278,26.679
2023-07-13,"31,466.1",0.3564,25.995
2023-07-12,"30,387.3",0.2890,21.942
2023-07-11,"30,623.3",0.2927,22.078
2023-07-10,"30,415.3",0.2878,21.305
2023-07-09,"30,166.9",0.2845,21.342
2023-07-08,"30,288.8",0.2906,21.823
2023-07-07,"30,346.4",0.2845,21.493
2023-07-06,"29,913.1",0.2789,19.641
2023-07-05,"30,512.8",0.2841,18.990
2023-07-04,"30,768.4",0.2923,19.134
2023-07-03,"31,151.3",0.2967,19.234
2023-07-02,"30,617.7",0.2917,19.462
2023-07-01,"30,586.8",0.2925,18.719
2023-06-30,"30,472.9",0.2867,18.858
2023-06-29,"30,445.7",0.2751,17.990
2023-06-28,"30,078.6",0.2667,15.965
2023-06-27,"30,689.1",0.2866,16.622
2023-06-26,"30,267.0",0.2805,16.262
2023-06-25,"30,465.3",0.2920,16.964
2023-06-24,"30,533.6",0.2894,16.642
2023-06-23,"30,679.4",0.2963,17.142
2023-06-22,"29,890.5",0.2900,16.634
2023-06-21,"29,996.9",0.2864,17.245
2023-06-20,"28,307.7",0.2704,16.633
2023-06-19,"26,845.9",0.2634,16.102
2023-06-18,"26,339.7",0.2610,15.448
2023-06-17,"26,515.0",0.2667,15.640
2023-06-16,"26,341.3",0.2632,15.320
2023-06-15,"25,591.3",0.2621,14.787
2023-06-14,"25,129.5",0.2634,14.488
2023-06-13,"25,929.4",0.2751,15.038
2023-06-12,"25,906.8",0.2747,15.190
2023-06-11,"25,928.4",0.2720,15.551
2023-06-10,"25,844.0",0.2749,15.623
2023-06-09,"26,479.3",0.2951,17.398
2023-06-08,"26,501.1",0.3227,18.892
2023-06-07,"26,342.5",0.3223,18.627
2023-06-06,"27,230.2",0.3530,20.390
2023-06-05,"25,747.4",0.3515,20.000
2023-06-04,"27,122.3",0.3774,21.830
2023-06-03,"27,072.0",0.3759,21.190
2023-06-02,"27,244.7",0.3781,21.258
2023-06-01,"26,819.0",0.3644,20.497
2023-05-31,"27,216.1",0.3744,20.823
2023-05-30,"27,698.2",0.3779,21.253
2023-05-29,"27,739.4",0.3788,20.572
2023-05-28,"28,071.2",0.3828,20.802
2023-05-27,"26,857.5",0.3667,20.424
2023-05-26,"26,711.5",0.3626,19.350
2023-05-25,"26,475.8",0.3581,19.250
2023-05-24,"26,328.4",0.3639,19.213
2023-05-23,"27,220.7",0.3704,20.028
2023-05-22,"26,847.3",0.3680,19.530
2023-05-21,"26,749.9",0.3602,19.612
2023-05-20,"27,116.2",0.3663,20.290
2023-05-19,"26,882.9",0.3681,20.350
2023-05-18,"26,828.0",0.3713,20.347
2023-05-17,"27,403.1",0.3755,21.047
2023-05-16,"27,035.3",0.3684,20.673
2023-05-15,"27,183.9",0.3671,20.990
2023-05-14,"26,920.0",0.3710,20.944
2023-05-13,"26,777.5",0.3646,20.832
2023-05-12,"26,799.2",0.3705,20.906
2023-05-11,"26,983.5",0.3597,20.184
2023-05-10,"27,603.3",0.3693,20.932
2023-05-09,"27,634.9",0.3633,20.673
2023-05-08,"27,670.5",0.3653,20.632
2023-05-07,"28,424.8",0.3759,21.655
